"Filename","Category","Width","Height","AlphaValueCount","AlphaType","TransparentPixels","PartialAlpha","OpaquePixels","AlphaCoveragePct","OpaqueCoveragePct","CoverageGroup","BTIFile"
"siege g petrobolos low.tga",,"64","64","3","MultiValue","4024","10","62","1.758","1.514","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\siege g petrobolos low.bti"
"building g templeage1.tga",,"256","256","2","Binary","64543","0","993","1.515","1.515","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g templeage1.bti"
"building x tower watch2.tga",,"256","256","2","Binary","64542","0","994","1.517","1.517","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building x tower watch2.bti"
"building x tower watch3.tga",,"256","256","2","Binary","64542","0","994","1.517","1.517","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building x tower watch3.bti"
"building e age2 accessories burnt.tga",,"256","256","2","Binary","64536","0","1000","1.526","1.526","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e age2 accessories burnt.bti"
"cine x krios.tga",,"256","256","3","MultiValue","64487","37","1012","1.601","1.544","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cine x krios.bti"
"building_e_monumentbase_map.tga",,"256","256","2","Binary","64512","0","1024","1.562","1.562","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building_e_monumentbase_map.bti"
"building e lighthouse.tga",,"256","256","2","Binary","64491","0","1045","1.595","1.595","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e lighthouse.bti"
"building n tower.tga",,"256","128","3","MultiValue","32234","11","523","1.63","1.596","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n tower.bti"
"building g wonder.tga",,"256","256","2","Binary","64489","0","1047","1.598","1.598","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g wonder.bti"
"world e statue set.tga",,"128","128","3","MultiValue","16091","31","262","1.788","1.599","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world e statue set.bti"
"titan g cerebus map2.tga",,"256","256","3","MultiValue","64480","5","1051","1.611","1.604","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\titan g cerebus map2.bti"
"building e age3 accessories.tga",,"256","256","2","Binary","64478","0","1058","1.614","1.614","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e age3 accessories.bti"
"building e shared02 2 map.tga",,"256","256","2","Binary","64478","0","1058","1.614","1.614","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e shared02 2 map.bti"
"cavalry c chariot horse standard.tga",,"128","128","111","MultiValue","15587","532","265","4.865","1.617","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry c chariot horse standard.bti"
"building n settlementage3.tga",,"256","256","2","Binary","64460","0","1076","1.642","1.642","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n settlementage3.bti"
"building g settlementage2.tga",,"256","256","2","Binary","64458","0","1078","1.645","1.645","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g settlementage2.bti"
"world g hades temple.tga",,"256","256","2","Binary","64440","0","1096","1.672","1.672","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world g hades temple.bti"
"building x palace age3.tga",,"256","256","2","Binary","64436","0","1100","1.678","1.678","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building x palace age3.bti"
"building n hillfort.tga",,"256","256","3","MultiValue","64389","44","1103","1.75","1.683","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n hillfort.bti"
"animal pig map.tga",,"64","64","3","MultiValue","4022","5","69","1.807","1.685","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\animal pig map.bti"
"scenario c danzhu.tga",,"128","128","55","MultiValue","15752","355","277","3.857","1.691","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\scenario c danzhu.bti"
"building n shared01 1 map.tga",,"256","256","2","Binary","64423","0","1113","1.698","1.698","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n shared01 1 map.bti"
