LogicalTGA,SourceClass,ActualPath,Exists,DecodeOK,ActualWidth,ActualHeight,ExpectedWidth,ExpectedHeight,ActualSizeBytes,ExpectedFileSizeKB,SizeOK,DimensionsOK,Status,Error
dlc-frontend/textures/ui/ui button slider arrow up 32x32 clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow up 32x32 clicked.tga,True,True,32,32,32,32,4114,4.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button slider arrow up 32x32 rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow up 32x32 rollover.tga,True,True,32,32,32,32,4114,4.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button slider arrow up 32x32.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow up 32x32.tga,True,True,32,32,32,32,4114,4.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui god all random 256x256.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui god all random 256x256.tga,True,True,256,256,256,256,262162,256.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui god all random 32x32.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui god all random 32x32.tga,True,True,32,32,32,32,4114,4.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui god boarder highlight 128x128.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui god boarder highlight 128x128.tga,True,True,256,256,256,256,262162,256.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui icon button clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui icon button clicked.tga,True,True,64,64,64,64,16402,16.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui icon button foreground film.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui icon button foreground film.tga,True,True,64,64,64,64,16402,16.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui icon button foreground history.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui icon button foreground history.tga,True,True,64,64,64,64,16402,16.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui icon button foreground options.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui icon button foreground options.tga,True,True,64,64,64,64,16402,16.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui icon button foreground steam.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui icon button foreground steam.tga,True,True,64,64,64,64,16402,16.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui icon button rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui icon button rollover.tga,True,True,64,64,64,64,16402,16.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui icon button.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui icon button.tga,True,True,64,64,64,64,16402,16.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui map boarder highlight 128x128.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui map boarder highlight 128x128.tga,True,True,256,256,256,256,262162,256.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui map boarder template 128x128.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui map boarder template 128x128.tga,True,True,256,256,256,256,262162,256.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui map size select giant clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui map size select giant clicked.tga,True,True,128,128,128,128,65554,64.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui map size select giant.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui map size select giant.tga,True,True,128,128,128,128,65554,64.0,False,True,FAIL,file size mismatch; 
