relative_path,source_width,source_height,output_width,output_height,dimension_ok,alpha_ok,output_decode_ok,source_rgba_sha256,output_rgba_sha256,error
textures/ui/ui god odin 64x64.tga,64,64,256,256,True,True,True,2e939a2358710fb89538db0173813a381da58577123a8b4e99d7cc3027546f3c,b344fccdb92a737324140881a5d31156d6ed87c96daf7e412a12401f3828cf84,
textures/ui/ui god oranos 128x128.tga,128,128,512,512,True,True,True,f22ef051f3ffb3849baf74aba7655e011769abefcc4b183a2ff50e8fcbbaa95c,ed01d0dacb506e9a4389162665133f6cfe36fafd73c7f629a80e2be7683ed0dd,
textures/ui/ui god oranos 256x256.tga,256,256,1024,1024,True,True,True,f56a7a76899a6529a46a552b69a76f84588e5259cb165934cf8c2b8127124512,b75434d8d53fcb33c2f5e43fdc2d1d25f01a326d5b04287571d70218b115d2bb,
textures/ui/ui god oranos 32x32.tga,32,32,128,128,True,True,True,62481288187a9e85faffbb1fa0576d1a9cd3f549e055333cc78285ef4121a2d2,dfc7f1a8358ef86d5e6182cc17f02b168f97738005ea8417afe4c5a395d5a817,
textures/ui/ui god oranos 64x64.tga,64,64,256,256,True,True,True,81399c37cfa452d1a7f561c4fd1c611e060da372e7aea65cd8141e21fd0bfdeb,8fa2749c374349a0dede6a45e001c07ac7b128ee52704eda1a383b21b78756bd,
textures/ui/ui god poseidon 128x128.tga,128,128,512,512,True,True,True,487df20b56ccd78f97f6d9a3648b57c0cfc64d65d24cf6c69eebd113d0e3d848,f74fc9e751e1d62ef6b55975cae3763e016243af6843db6ab5f80245fb8bceb3,
textures/ui/ui god poseidon 256x256.tga,256,256,1024,1024,True,True,True,598429bc870f06417e0ee37feb505efa68add4873caa8b04b0b7127964152b16,99fea17f93ee9794300bbb8b32003ff32f430b5d7c9ef1f6a454e502fefce92f,
textures/ui/ui god poseidon 32x32.tga,32,32,128,128,True,True,True,066537b9439e9caf153e20d621f54e8586248aab0fab4c974a26940e38c96099,9557c508843b5fad8208e7ea5d666b536d890b56935e977e80949c6c96037d09,
textures/ui/ui god poseidon 64x64.tga,64,64,256,256,True,True,True,6d0f5df64573467019b89194b72b0cbd4c4653b98b0bf86ba1f1fb724a2e2b87,0b15982b80386ec342502d963638ad37f7a96728d42bbd762355242eb010fd19,
textures/ui/ui god ra 128x128.tga,128,128,512,512,True,True,True,37ba72304b9f7a5f047051a36bd7f6664d9eeeaf068035316ef3b9f96790d2c7,8bcc2a10d8f578a45d071e3a96538578cb9362a74dda490a0f8349ee32a99eba,
textures/ui/ui god ra 256x256.tga,256,256,1024,1024,True,True,True,b772499f72aced1a2571ebd79fa63019740714a5b3f469506b1f3282165c0dda,068e4734f787f11dc8520f1c0c8c4078047b388ba5bda7815c1522916de06ad1,
textures/ui/ui god ra 32x32.tga,32,32,128,128,True,True,True,6496443f564f30547fa7813117d8bc2ab050964efbee2c852cc5c41a22b7e664,08d3126263b0ac3e5c7ba7a5683101138fbfa03a8666751f113867f7b499087a,
textures/ui/ui god ra 64x64.tga,64,64,256,256,True,True,True,cf79e3238e2a7d9abba168f7f7e1c7ab7ded443dd0c37608b4c65fed924d2ae5,9b1ceb47cd389ced1a1ce67796435e953d5274cd7772d6a415a667fe5c9757ff,
textures/ui/ui god set 128x128.tga,128,128,512,512,True,True,True,8ecc539c759e5e7e89ad99495f0d3548c61158bd646103322d4465618a9c7cc8,8674f05c25fa898a3943f06c248765229657de7a86e3ae03deb87a4d434465bc,
textures/ui/ui god set 256x256.tga,256,256,1024,1024,True,True,True,1ef09e3314a1b30c0077e999deb4618c8e71f7a1339c65def810f8a0af501bab,9ff23a6c3df7e260d057da8aaadc966789a7056cdb4e0bf69878b5f7058b90fe,
textures/ui/ui god set 32x32.tga,32,32,128,128,True,True,True,33a6227500b60f5357fca4bebb84e3fcee3c62163aea8ce6fc861625944f5d64,d0e6de0c56bd842f39804e18948a76cebb9eeb4d442addfb899bc2a599b91ebe,
textures/ui/ui god set 64x64.tga,64,64,256,256,True,True,True,9e3a381123e12ff6d3744303eb3aa1d843a067e0133e2f98837148d9b4d8244a,068820de03bf8f10b013b432c6021f45b8e1fa41ab13b9685d4a6d73dfc1f02e,
textures/ui/ui god shennong 128x128.tga,128,128,512,512,True,True,True,946d456999b996fb250fd1ae8fb6ec89043c4868ea360d6d60aac1fa194785be,17737ecca5d6f1af043ce3bcc7955734179138e9ae16492c9256ede3bcc60058,
textures/ui/ui god shennong 256x256.tga,256,256,1024,1024,True,True,True,528ebacb098dbbec2bc6d1040ea6dd8ca2c3bf6592d6e6c13217814dba6ae1c6,10993b4b5fa10637a7878d3d9ee22f8bf66f7d8edb841d98377ef61e9160ad75,
textures/ui/ui god shennong 32x32.tga,32,32,128,128,True,True,True,f40b435eefea3f2232dfb1d794b212d32c1d169e3aae37f4b0082213f6f52393,9f193028b6fe81d84e9d19f53ebbfefd5ce6b2073a76f04e91c92f3b78404ca1,
textures/ui/ui god shennong 64x64.tga,64,64,256,256,True,True,True,99df5aa58562e744241c1f24cd02a1cc17276a0729c61214989b85794d0da190,1270cd16157559361d6bacb92007b0614b9866a1fab2d201b6184bcf95473723,
textures/ui/ui god thor 128x128.tga,128,128,512,512,True,True,True,f5bb1eb258b766b3d35195017deb6674b13754556d95539202c1f8e98fa17e26,e6f0dea15a9318c34b96fc298f3f72fe73ace49b51f466ba2220cbf18cbc12f3,
textures/ui/ui god thor 256x256.tga,256,256,1024,1024,True,True,True,a2460812df3cddb1e00597adfadd5c49eff15dd059206d40dddfbf23a3fd9d12,46ca037fe8138698d44983fe82b625970e7f465c20fdcf892cb1bc39af997cb7,
textures/ui/ui god thor 32x32.tga,32,32,128,128,True,True,True,20419a0ba14e7ded0bfa1b786eca39a891a12aa536b62baa167275fec5c4cc3d,cff504e86fd1afb054a01d40dbc12047f3ceafb607eb52ef8bcec5020d1d2195,
